label,connection_id,srtt,rtt,mdev,mdev_max,rttvar,min_rtt,inflight,lost,recv_rtt,retrans_out,total_lost,sack_out,total_retrans,rcv_buf,snd_buf,snd_cwnd,sk_pacing_rate,sk_max_pacing_rate,delivered
fibre,160.217.166.30;43160;5201,2980,23302,396,200000,200003,556,242,0,0,0,2356,0,2356,131072,2854912,260,150604068,18446744073709551615,1848939
fibre,160.217.166.30;43160;5201,2206,17108,329,200000,200003,556,196,0,0,0,2402,0,2402,131072,2854912,199,157003881,18446744073709551615,1857035
fibre,160.217.166.30;43160;5201,2381,18798,353,200000,200003,556,196,0,0,0,2402,0,2402,131072,2854912,225,161557612,18446744073709551615,1865867
fibre,160.217.166.30;43160;5201,1923,15012,293,200000,200003,556,133,0,0,0,2448,0,2448,131072,2854912,161,144758433,18446744073709551615,1868874
fibre,160.217.166.30;43160;5201,2098,15625,644,200000,200003,556,151,0,0,0,2448,0,2448,131072,2854912,194,167586201,18446744073709551615,1877688
fibre,160.217.166.30;43160;5201,2221,17080,300,200000,200003,556,195,0,0,0,2448,0,2448,131072,2854912,211,166744355,18446744073709551615,1885786
fibre,160.217.166.30;43160;5201,2426,18699,444,200000,200003,556,195,0,0,0,2448,0,2448,131072,2854912,227,163856634,18446744073709551615,1893882
fibre,160.217.166.30;43160;5201,1793,14723,362,200000,200003,556,150,0,0,0,2486,0,2486,131072,2854912,174,159517924,18446744073709551615,1902713
fibre,160.217.166.30;43160;5201,2223,17187,470,200000,200003,556,197,0,0,0,2486,0,2486,131072,2854912,205,160994239,18446744073709551615,1910808
fibre,160.217.166.30;43160;5201,2439,18907,417,200000,200003,556,195,0,0,0,2486,0,2486,131072,2854912,219,156342857,18446744073709551615,1918906
fibre,160.217.166.30;43160;5201,2677,21238,467,200000,200003,556,197,0,0,0,2486,0,2486,131072,2854912,237,150622996,18446744073709551615,1927000
fibre,160.217.166.30;43160;5201,2733,21110,417,200000,200003,556,242,0,0,0,2486,0,2486,131072,2854912,255,163045381,18446744073709551615,1935833
fibre,160.217.166.30;43160;5201,2066,16474,344,200000,200003,556,150,0,0,0,2535,0,2535,131072,2854912,184,150756246,18446744073709551615,1940939
fibre,160.217.166.30;43160;5201,2239,17345,405,200000,200003,556,196,0,0,0,2535,0,2535,131072,2854912,211,164196805,18446744073709551615,1949771
